Data set,"Authors collaborating with Horton, Benjamin Peter"
Entity,"Horton, Benjamin Peter"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Li, Tanghua",215003,"Nanyang Technological University",academic,8,44,5.5,3.66,57201194512
"Shaw, Timothy A.",215003,"Nanyang Technological University",academic,7,41,5.9,1.36,57190066126
"Switzer, Adam D.",215003,"Nanyang Technological University",academic,6,29,4.8,1.36,10738884500
"Samanta, Dhrubajyoti",215003,"Nanyang Technological University",academic,5,10,2.0,0.58,22951965900
"Walker, Jennifer S.",508199,"Rowan University",academic,5,58,11.6,1.44,57203463325
"Chew, Lock Yue",215003,"Nanyang Technological University",academic,4,4,1.0,0.29,7005122315
"Chua, Stephen",215003,"Nanyang Technological University",academic,4,17,4.3,1.23,7201550479
"Daly, Patrick",215003,"Nanyang Technological University",academic,4,40,10.0,1.57,7101813771
"Khan, Nicole S.",205006,"The University of Hong Kong",academic,4,29,7.3,6.32,55453728100
"Tan, Fangyi",215003,"Nanyang Technological University",academic,4,18,4.5,6.00,58117584500
"Dauwels, Justin",325001,"Delft University of Technology",academic,3,1,0.3,0.05,6507548054
"Grandey, Benjamin S.",215003,"Nanyang Technological University",academic,3,1,0.3,0.05,35221443100
"Koh, Zhiyang",215003,"Nanyang Technological University",academic,3,1,0.3,0.05,57223835702
"Kopp, Robert E.",508201,"Rutgers - The State University of New Jersey, New Brunswick",academic,3,51,17.0,1.78,7102794612
"Majewski, Jędrzej M.",327001,"Adam Mickiewicz University in Poznań",academic,3,26,8.7,8.14,57193266295
"McCaughey, Jamie W.",306003,"Swiss Federal Institute of Technology Zurich",academic,3,25,8.3,1.62,57218181381
"Meltzner, Aron J.",215003,"Nanyang Technological University",academic,3,11,3.7,7.67,6506226592
"Barber, Donald C.",508426,"Bryn Mawr College",academic,2,12,6.0,1.62,7202972554
"Cahill, Niamh",319004,"Maynooth University",academic,2,9,4.5,1.27,55899557800
"Cearreta, Alejandro",312036,"University of the Basque Country",academic,2,9,4.5,1.09,6602193325
"García-Artola, Ane",312036,"University of the Basque Country",academic,2,9,4.5,1.09,49861138300
"Garner, Andra J.",508199,"Rowan University",academic,2,13,6.5,1.37,57196952402
"Garner, Gregory G.",-,"Independent Researcher",-,2,7,3.5,0.49,55359861900
"Moise, Aurel Florian",-,"National Environment Agency, Singapore",-,2,0,0.0,0.00,35264529800
"Morgan, Kyle M.",215003,"Nanyang Technological University",academic,2,0,0.0,0.00,57189057193
"Ng, Trina",215003,"Nanyang Technological University",academic,2,0,0.0,0.00,58308380700
"Wu, Patrick Pak Cheuk",205006,"The University of Hong Kong",academic,2,25,12.5,2.56,7403119705
"Amalia, Cut Sherly",-,"BPS-Statistics Indonesia",-,1,12,12.0,2.21,58502694700
"Anthony, Edward Jamal",314004,"CNRS",government,1,0,0.0,0.00,36184444700
"Aw, Zihan",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,59171457000
"Baranskaya, Alisa V.",331011,"Lomonosov Moscow State University",academic,1,15,15.0,1.59,56095280200
"Baranyai, Krisztina",208081,"Kyoto University",academic,1,15,15.0,1.41,57224365978
"Bird, Michael I.",201012,"James Cook University Queensland",academic,1,7,7.0,1.36,7102578362
"Brain, Matthew J.",315071,"Durham University",academic,1,9,9.0,2.54,36623332500
"Brassard, Caroline",215004,"National University of Singapore",academic,1,1,1.0,0.44,23481395100
"Chan, Nicholas",215003,"Nanyang Technological University",academic,1,0,0.0,0.00,58288952100
