Data set,"Authors collaborating with Leung, Michael Kwok Hi"
Entity,"Leung, Michael Kwok Hi"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Zhang, Yizhen",203166,"Shandong University of Science and Technology",academic,8,153,19.1,0.74,57194692645
"Chen, Keda",205002,"City University of Hong Kong",academic,6,136,22.7,0.76,57211921610
"He, Yun",203445,"Wuhan Polytechnic University",academic,6,156,26.0,1.04,57196424677
"Hu, Jue",203114,"Kunming University of Science and Technology",academic,5,109,21.8,1.22,36668754000
"Ran, Lei",205002,"City University of Hong Kong",academic,5,338,67.6,3.87,56662789400
"Zhang, Chengxu",203114,"Kunming University of Science and Technology",academic,5,109,21.8,1.22,57193499866
"Leung, Dennis Yiu Cheong",205006,"The University of Hong Kong",academic,4,84,21.0,1.04,56065668600
"Li, Xin",205002,"City University of Hong Kong",academic,4,82,20.5,1.97,58503098800
"Liu, Jin",205002,"City University of Hong Kong",academic,4,88,22.0,1.90,57208820331
"Peng, Zehua",205005,"Hong Kong University of Science and Technology",academic,4,78,19.5,1.57,57190884829
"Wu, Wei",205002,"City University of Hong Kong",academic,4,80,20.0,1.19,56196144600
"Xu, Yifan",203206,"Tianjin University",academic,4,0,0.0,0.00,57451031100
"Zhou, Jinsong",205002,"City University of Hong Kong",academic,4,64,16.0,1.78,57217178412
"Asim, Muhammad",205004,"Hong Kong Polytechnic University",academic,3,4,1.3,0.34,56259661400
"Cao, Xiaoqiang",203166,"Shandong University of Science and Technology",academic,3,10,3.3,0.26,20435314300
"Hou, Yang",203243,"Zhejiang University",academic,3,96,32.0,5.87,35237260400
"Khan, Sheheryar",205004,"Hong Kong Polytechnic University",academic,3,4,1.3,0.34,57202720144
"Li, Penghui",203166,"Shandong University of Science and Technology",academic,3,10,3.3,0.26,59279127000
"Ng, Yun Hau",205002,"City University of Hong Kong",academic,3,90,30.0,1.33,57205343588
"Ran, Bei",203186,"Sichuan University",academic,3,338,112.7,6.45,59873318900
"Wang, Yifei",203076,"Harbin Institute of Technology",academic,3,84,28.0,1.39,56563190000
"Xiong, Wei",203054,"Dalian University of Technology",academic,3,8,2.7,0.37,57201902609
"Zheng, Zhanying",203076,"Harbin Institute of Technology",academic,3,59,19.7,0.97,57217310299
"Cao, Jingyu",203102,"Hunan University",academic,2,57,28.5,1.40,57157924200
"Ding, Yang",203074,"Hangzhou Dianzi University",academic,2,15,7.5,1.05,57220102159
"Dong, Guangzhong",203076,"Harbin Institute of Technology",academic,2,2,1.0,1.29,56797379900
"Feng, Yongqiang",203108,"Jiangsu University",academic,2,18,9.0,0.92,56521995900
"Hai, Guangtong",203243,"Zhejiang University",academic,2,61,30.5,2.93,57700605100
"Huang, Haibao",203198,"Sun Yat-Sen University",academic,2,82,41.0,0.79,24080074500
"Li, Jianfen",203445,"Wuhan Polytechnic University",academic,2,138,69.0,2.44,35242666000
"Li, Jiantao",203435,"SINOPEC",corporate,2,82,41.0,0.79,55752879300
"Li, Li",710560,"Jiangsu University of Technology",academic,2,127,63.5,1.60,56177105500
"Qi, Qianglong",203114,"Kunming University of Science and Technology",academic,2,58,29.0,1.43,57216395720
