Data set,"Authors collaborating with Liu, Chunhua"
Entity,"Liu, Chunhua"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Dong, Zhiping",205002,"City University of Hong Kong",academic,51,645,12.6,2.08,57214728775
"Song, Zaixin",205004,"Hong Kong Polytechnic University",academic,48,971,20.2,2.26,57193017589
"Liu, Yuxin",205002,"City University of Hong Kong",academic,43,492,11.4,2.05,57264747300
"Huang, Rundong",205002,"City University of Hong Kong",academic,38,431,11.3,2.53,57224997786
"Liu, Senyi",203208,"Tongji University",academic,33,713,21.6,2.67,57206674263
"Zhang, Bowen",205002,"City University of Hong Kong",academic,25,186,7.4,2.12,57404974500
"Chen, Yong",205002,"City University of Hong Kong",academic,24,235,9.8,1.73,57207934383
"Wen, Hao",205002,"City University of Hong Kong",academic,24,93,3.9,0.97,58003284200
"Wang, Wusen",205002,"City University of Hong Kong",academic,18,310,17.2,2.49,57197768031
"Wang, Tianci",205002,"City University of Hong Kong",academic,14,10,0.7,0.43,58615989600
"Feng, Kuo",205002,"City University of Hong Kong",academic,11,87,7.9,1.06,56068179800
"Zhao, Hang",724674,"The Hong Kong University of Science and Technology (Guangzhou)",academic,11,323,29.4,2.46,57189311908
"Chen, Zhengge",203195,"Southwest Jiaotong University",academic,6,14,2.3,1.09,57189997981
"Huang, Yongcan",205002,"City University of Hong Kong",academic,5,122,24.4,2.27,57209458469
"Pong, Phillip Wing Tat",508162,"New Jersey Institute of Technology",academic,5,25,5.0,0.61,57218887054
"Chau, Kwok Tong",205006,"The University of Hong Kong",academic,4,35,8.8,0.86,7202674641
"Yu, Feng",203136,"Nantong University",academic,4,14,3.5,0.62,56893038600
"Gao, Xingran",203219,"Wuhan University",academic,3,80,26.7,2.60,56315531500
"Liu, Xuyang",205002,"City University of Hong Kong",academic,3,30,10.0,1.31,57191040065
"Swain, Akhyurna",508162,"New Jersey Institute of Technology",academic,3,2,0.7,0.34,57223133618
"Xiao, Yang",217100,"Soochow University",academic,3,85,28.3,2.22,57206747364
"Hou, Yunhe",205006,"The University of Hong Kong",academic,2,0,0.0,0.00,7402198555
"Li, Songtao",205006,"The University of Hong Kong",academic,2,3,1.5,0.40,58348875500
"Liu, Wei",205004,"Hong Kong Polytechnic University",academic,2,3,1.5,0.40,57202057683
"Wei, Xile",203206,"Tianjin University",academic,2,2,1.0,1.60,24537812900
"Xu, Qi",205006,"The University of Hong Kong",academic,2,23,11.5,1.01,57209476023
"Yu, Jincheng",203076,"Harbin Institute of Technology",academic,2,14,7.0,1.73,57196423036
"Zhang, Zhen",203206,"Tianjin University",academic,2,2,1.0,1.60,56673218400
"Zhu, Zhihao",203136,"Nantong University",academic,2,2,1.0,1.60,57207460750
"Cai, Zheng",203076,"Harbin Institute of Technology",academic,1,13,13.0,3.20,58003599000
"Chan, Chingchuen",205004,"Hong Kong Polytechnic University",academic,1,0,0.0,0.00,56418785700
"Chen, Hongwu",205002,"City University of Hong Kong",academic,1,0,0.0,0.00,57560490500
"Chen, Yong",205002,"City University of Hong Kong",academic,1,2,2.0,0.59,58982757200
"Guo, Hongliang",205002,"City University of Hong Kong",academic,1,0,0.0,0.00,59866237400
"Guo, Jian",205006,"The University of Hong Kong",academic,1,0,0.0,0.00,57212985105
"Han, Ruixue",-,"Tianjin Navigation Instrument Research Institute",-,1,2,2.0,3.21,57982590400
"Hossain, Imraan",508162,"New Jersey Institute of Technology",academic,1,0,0.0,0.00,59724652800
"Lee, Chikwan",201034,"University of Technology Sydney",academic,1,3,3.0,0.80,58803998600
"Li, Wenbin",203020,"Capital Medical University",academic,1,18,18.0,4.17,56610963600
"Li, Xianglin",203155,"Qingdao University",academic,1,62,62.0,4.33,54796711400
"Li, Xin",203020,"Capital Medical University",academic,1,18,18.0,4.17,58190811700
"Li, Yajie",203020,"Capital Medical University",academic,1,18,18.0,4.17,58609773900
"Li, Zhenghao",205004,"Hong Kong Polytechnic University",academic,1,1,1.0,1.60,57222321037
"Mi, Wenyuan",724674,"The Hong Kong University of Science and Technology (Guangzhou)",academic,1,13,13.0,3.20,57957231700
"Ni, Feifan",205004,"Hong Kong Polytechnic University",academic,1,1,1.0,1.60,58303964200
"Niu, Shuangxia",205004,"Hong Kong Polytechnic University",academic,1,1,1.0,1.60,22135506800
"Ou, Zhijun",724674,"The Hong Kong University of Science and Technology (Guangzhou)",academic,1,1,1.0,0.26,58939950600
"Rodríguez, José R.",705601,"Universidad San Sebastián",academic,1,7,7.0,0.82,57203271100
"Su, Xiangdong",724674,"The Hong Kong University of Science and Technology (Guangzhou)",academic,1,1,1.0,0.26,58615006000
"Wang, Songlin",203020,"Capital Medical University",academic,1,18,18.0,4.17,55714551500
"Xia, Wei",203198,"Sun Yat-Sen University",academic,1,0,0.0,0.00,57210715440
"Xie, Jinxuan",203020,"Capital Medical University",academic,1,18,18.0,4.17,58190635000
"Xu, Jianping",203195,"Southwest Jiaotong University",academic,1,6,6.0,1.59,7407004902
"Yang, Tengbo",205006,"The University of Hong Kong",academic,1,30,30.0,2.18,57221676405
"Yang, Yong",217100,"Soochow University",academic,1,7,7.0,0.82,56103223100
"Yuan, Shuai",205006,"The University of Hong Kong",academic,1,21,21.0,1.55,57218795647
"Zhao, Dan",203020,"Capital Medical University",academic,1,18,18.0,4.17,57203866970
"Zhao, Fei",203076,"Harbin Institute of Technology",academic,1,73,73.0,5.80,55705022900
"Zhao, Guoqiang",205002,"City University of Hong Kong",academic,1,0,0.0,0.00,59560248900
"Zhou, George You",-,"National Institute of Clean-and-Low-Carbon Energy",-,1,0,0.0,0.00,57197834440

"© 2025 Elsevier B.V. All rights reserved. SciVal, RELX Group and the RE symbol are trade marks of RELX Intellectual Properties SA, used under license."
