Data set,"Authors collaborating with Wang, Wenxiong"
Entity,"Wang, Wenxiong"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Wang, Xiangrui",203008,"Beihang University",academic,9,112,12.4,1.11,56201220400
"Luo, Yali",205002,"City University of Hong Kong",academic,7,60,8.6,0.82,57200559509
"Ma, Shuoli",203149,"Ocean University of China",academic,7,44,6.3,0.51,57209806917
"Sun, Anqi",205002,"City University of Hong Kong",academic,7,165,23.6,1.59,58587116600
"Tsim, Karl Wah Keung",205005,"Hong Kong University of Science and Technology",academic,7,65,9.3,1.15,7005540283
"Lu, Guangyuan",205002,"City University of Hong Kong",academic,6,86,14.3,0.88,55791558600
"Xia, Yiteng",205002,"City University of Hong Kong",academic,6,42,7.0,0.97,57204201162
"Hajisamae, Sukree",216009,"Prince of Songkla University",academic,5,35,7.0,0.87,6506910678
"Tang, Ben Zhong",708595,"The Chinese University of Hong Kong, Shenzhen",academic,5,72,14.4,2.23,55701833100
"Xiao, Jie",205002,"City University of Hong Kong",academic,5,31,6.2,0.67,57473760600
"Fan, Wenhong",203008,"Beihang University",academic,4,37,9.3,0.53,56147370400
"Ma, Lan",205002,"City University of Hong Kong",academic,4,90,22.5,1.47,57206144609
"Meng, Jie",203149,"Ocean University of China",academic,4,89,22.3,1.37,56379506400
"Xuan, Zhongya",205002,"City University of Hong Kong",academic,4,22,5.5,0.75,59775626900
"Yan, Neng",203036,"China University of Geosciences, Wuhan",academic,4,39,9.8,1.08,57201914729
"Zheng, Siwen",205002,"City University of Hong Kong",academic,4,76,19.0,2.97,57935910300
"Deng, Shaoxi",205002,"City University of Hong Kong",academic,3,11,3.7,0.61,58370130500
"Iqbal, T. H.",701288,"Universitas Syiah Kuala",academic,3,20,6.7,0.84,57188770606
"Li, Yiling",205002,"City University of Hong Kong",academic,3,41,13.7,1.55,57222750410
"Liu, Shu",203008,"Beihang University",academic,3,37,12.3,0.71,35725703600
"Ruan, Yuefei",205002,"City University of Hong Kong",academic,3,42,14.0,1.18,57202961387
"Shu, Xugang",717064,"Zhongkai University of Agriculture and Engineering",academic,3,60,20.0,1.64,36086755100
"Wang, Mengjing",215003,"Nanyang Technological University",academic,3,77,25.7,2.20,57864162200
"Wang, Mengyu",205002,"City University of Hong Kong",academic,3,11,3.7,0.41,57945653400
"Yang, Meng",205002,"City University of Hong Kong",academic,3,77,25.7,2.07,57490757400
"Chang, Xinyi",205002,"City University of Hong Kong",academic,2,23,11.5,1.54,58502806800
"Hu, Yubing",315018,"Imperial College London",academic,2,16,8.0,0.79,57207076981
"Jin, Linjie",205002,"City University of Hong Kong",academic,2,34,17.0,1.03,57221744496
"Lam, Paul Kwan Sing",706768,"Hong Kong Metropolitan University",academic,2,34,17.0,1.03,7202365776
"Li, Huizhen",203112,"Jinan University",academic,2,18,9.0,0.87,36628727500
"Li, Yao",203008,"Beihang University",academic,2,1,0.5,0.12,57207849733
"Qin, Qiwei",203188,"South China Agricultural University",academic,2,23,11.5,1.66,57908719700
"Shi, Jianbo",203065,"University of Chinese Academy of Sciences",academic,2,56,28.0,3.33,55264445600
"Tao, Danyang",205002,"City University of Hong Kong",academic,2,13,6.5,0.58,57225808204
"Wang, Qi",205002,"City University of Hong Kong",academic,2,34,17.0,1.03,57199480796
"Wang, Ying",203008,"Beihang University",academic,2,1,0.5,0.12,57207975679
"Yang, Lanpeng",203135,"Nankai University",academic,2,25,12.5,1.50,57202077569
"You, Jing",203112,"Jinan University",academic,2,18,9.0,0.87,7201683569
"Zhang, You",203008,"Beihang University",academic,2,36,18.0,0.95,57214140251
"Alessandro, Parodi",720598,"Sirius University of Science and Technology",academic,1,4,4.0,0.86,58559981400
"Au, Wing Chi",205002,"City University of Hong Kong",academic,1,17,17.0,2.68,57222809394
