Data set,"Authors collaborating with Xu, C. C."
Entity,"Xu, C. C."
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Zhang, Yongsheng",203245,"Zhengzhou University",academic,23,513,22.3,2.04,56311738200
"Wang, Haoyu",501052,"Western University",academic,18,198,11.0,1.45,57211581432
"Wang, Jianshe",203245,"Zhengzhou University",academic,18,422,23.4,2.20,8867270500
"Zeng, Yimin",702787,"Natural Resources Canada",government,14,134,9.6,1.16,7402978197
"Han, Xue",702787,"Natural Resources Canada",government,13,134,10.3,1.24,55450997800
"Rezayan, Armin",205002,"City University of Hong Kong",academic,13,216,16.6,1.78,57202197953
"Nie, Renfeng",203245,"Zhengzhou University",academic,12,237,19.8,2.09,36092982500
"Wu, Dan",203245,"Zhengzhou University",academic,11,59,5.4,1.14,57116832100
"Long, Hongming Ming",203007,"Anhui University of Technology",academic,10,163,16.3,1.73,15051996200
"Beims, Ramon Filipe",501052,"Western University",academic,9,167,18.6,1.49,57200082982
"Li, Hongwei",501052,"Western University",academic,9,148,16.4,1.12,57208443195
"Qin, Wensheng",501014,"Lakehead University",academic,9,87,9.7,1.20,12646665100
"Yang, Xiaomeng",203245,"Zhengzhou University",academic,9,124,13.8,1.79,57208181636
"Zhang, Mingyuan",501052,"Western University",academic,9,69,7.7,1.12,57221955395
"Kermanshahi-pour, Azadeh",501007,"Dalhousie University",academic,7,53,7.6,0.94,8536741000
"Lu, Tiangliang",203245,"Zhengzhou University",academic,7,105,15.0,1.21,55488499500
"Hu, Yulin",501045,"University of Prince Edward Island",academic,6,150,25.0,2.01,57193335637
"Qian, Lixin",203007,"Anhui University of Technology",academic,6,145,24.2,1.61,57188677881
"Ray, Madhumita Bhowmick",501052,"Western University",academic,6,52,8.7,2.48,7202799878
"Wei, Rufei",203007,"Anhui University of Technology",academic,6,68,11.3,1.93,37020754200
"Yuan, Zhongshun Sean",501052,"Western University",academic,6,113,18.8,0.98,36467290200
"Chang, Chun",203245,"Zhengzhou University",academic,5,3,0.6,0.59,55878232900
"Chio, Chonlong",501014,"Lakehead University",academic,5,55,11.0,1.45,57204076525
"DSouza, Glen Cletus",501052,"Western University",academic,5,30,6.0,1.68,57207999455
"Jiang, Zihua",501014,"Lakehead University",academic,5,67,13.4,1.32,7404280328
"Lin, Yucheng",203245,"Zhengzhou University",academic,5,3,0.6,0.59,58601519000
"Mokale Kognou, Aristide Laurel",208069,"Kobe University",academic,5,67,13.4,1.32,57204834560
"Chambers, Darren W.",-,"Progressive Industrial Fluids Ltd.",-,4,35,8.8,1.66,58366640400
"Ding, Long",203007,"Anhui University of Technology",academic,4,66,16.5,0.90,57215055069
"Kamyab, Behzad",501052,"Western University",academic,4,35,8.8,1.66,57211072866
"Li, Haoyang",501052,"Western University",academic,4,86,21.5,2.36,57192117176
"Liu, Xiaoming",203212,"University of Science and Technology Beijing",academic,4,207,51.8,5.08,59120030100
"Prakash, Anand",501052,"Western University",academic,4,13,3.3,1.61,7202316601
"Sui, Dong",203387,"Luoyang Normal University",academic,4,176,44.0,4.13,36612472600
"Zhang, Heng",203073,"Guizhou University",academic,4,186,46.5,7.32,56783583500
"Zhang, Yuexing",704955,"Dezhou University",academic,4,105,26.3,3.43,35263436000
"Ai, Xianbin",-,"Jiangxi Academy of Sciences",-,3,22,7.3,0.79,36702560600
"Arredondo, Rosa",501052,"Western University",academic,3,77,25.7,1.08,57415657300
"Bassi, Amarjeet Singh",501052,"Western University",academic,3,21,7.0,1.10,7102527065
"Brar, Satinder K.",501056,"York University Toronto",academic,3,18,6.0,0.50,7004923133
"Han, Dandan",203089,"Henan Agricultural University",academic,3,35,11.7,2.23,56542241400
"Hou, Liutao",203245,"Zhengzhou University",academic,3,2,0.7,0.53,58814183100
"Kumar, Pawan",501007,"Dalhousie University",academic,3,18,6.0,0.50,57220738201
"Lin, Wei",203245,"Zhengzhou University",academic,3,111,37.0,4.66,57943008400
"Liu, Minkang",702787,"Natural Resources Canada",government,3,1,0.3,0.07,57215361520
"Ma, Zhen",203245,"Zhengzhou University",academic,3,1,0.3,0.07,58916182500
"Shrestha, Sarita",501014,"Lakehead University",academic,3,52,17.3,1.26,57219915602
"Shui, Hengfu",203007,"Anhui University of Technology",academic,3,79,26.3,1.17,7003761606
"Wang, Ke",203245,"Zhengzhou University",academic,3,95,31.7,2.19,57223669470
"Xue, Yang",203212,"University of Science and Technology Beijing",academic,3,136,45.3,5.78,57224167137
"Yang, Song",203073,"Guizhou University",academic,3,172,57.3,6.81,7408519878
"Zhang, Zhen",203245,"Zhengzhou University",academic,3,33,11.0,1.48,57188535756
"Zhao, Bojun",-,"Zhejiang Academy of Special Equipment Science",-,3,81,27.0,2.10,57200961840
"Zhao, Shiqiang",203245,"Zhengzhou University",academic,3,3,1.0,0.98,57210430468
"Ban, Lin",203073,"Guizhou University",academic,2,38,19.0,12.49,58991879100
"Bao, Jinpan",203245,"Zhengzhou University",academic,2,12,6.0,1.46,58119751900
"Barghi, Shahzad",501052,"Western University",academic,2,11,5.5,0.47,57192703512
"Chen, Long",203073,"Guizhou University",academic,2,148,74.0,2.15,57939705100
"Chen, Xuantong",501014,"Lakehead University",academic,2,38,19.0,1.65,57195726357
"Chen, Yi",203245,"Zhengzhou University",academic,2,73,36.5,3.03,57226819566
"Dodangeh, Fatemeh",501052,"Western University",academic,2,16,8.0,2.81,59831496100
"Fu, Yinxuan",-,"Jiangxi Academy of Sciences",-,2,19,9.5,0.85,57202756715
"Geng, Fei",203245,"Zhengzhou University",academic,2,4,2.0,0.96,59318902100
"Han, Xiuli",203245,"Zhengzhou University",academic,2,0,0.0,0.00,55626549200
"He, Quan (Sophia)",501007,"Dalhousie University",academic,2,13,6.5,0.48,8297977900
