Data set,"Authors collaborating with Yuan, Zhiguo"
Entity,"Yuan, Zhiguo"
Year range,2022 to 2025
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,all publication types
Self-citations,included

Data source,Scopus
Date last updated,16 July 2025
Date exported,28 July 2025

Author numbers,<= 10

Author,Institution ID,Institution,Sector,Co-authored publications,Citations,Citations per Publication,Field-Weighted Citation Impact,Scopus author ID
"Hu, Shihu",201029,"University of Queensland",academic,39,767,19.7,1.63,37087188700
"Zheng, Min",201027,"University of New South Wales",academic,31,679,21.9,1.93,56645515900
"Guo, Jianhua",201029,"University of Queensland",academic,26,671,25.8,3.14,55709414400
"Liu, Tao",205004,"Hong Kong Polytechnic University",academic,18,294,16.3,2.18,57194018265
"Duan, Haoran",201027,"University of New South Wales",academic,17,470,27.6,1.66,56868113900
"Wang, Zhiyao",201029,"University of Queensland",academic,14,407,29.1,1.63,56227672200
"Zhang, Xueqin",201029,"University of Queensland",academic,13,169,13.0,1.67,55971477800
"Hu, Zhetai",201029,"University of Queensland",academic,11,165,15.0,1.89,57191622667
"Ye, Liu",201029,"University of Queensland",academic,10,153,15.3,1.12,11439119500
"Zhao, Jing",201027,"University of New South Wales",academic,10,165,16.5,1.53,57192069834
"Rabiee, Hesamoddin",306012,"University of Bern",academic,8,157,19.6,1.34,56256575300
"Cai, Chen",203213,"University of Science and Technology of China",academic,7,63,9.0,1.65,36189646600
"Li, Jiuling",201029,"University of Queensland",academic,7,55,7.9,1.06,56267887300
"Sharma, Keshab Raj",201029,"University of Queensland",academic,7,149,21.3,1.27,7402096691
"Virdis, Bernardino",201029,"University of Queensland",academic,7,94,13.4,1.39,24170137100
"Liu, Yanchen",203209,"Tsinghua University",academic,6,140,23.3,1.33,35740873600
"Bond, Philip L.",201029,"University of Queensland",academic,5,78,15.6,4.47,7103199939
"McIlroy, Simon J.",201018,"Queensland University of Technology",academic,5,118,23.6,2.33,15842172000
"Tyson, Gene W.",201018,"Queensland University of Technology",academic,5,118,23.6,2.33,7004371074
"Wang, Yue",201029,"University of Queensland",academic,5,170,34.0,6.27,57203769386
"Cen, Xiaotong",201029,"University of Queensland",academic,4,30,7.5,2.63,58292036700
"Erler, Dirk V.",201020,"Southern Cross University",academic,4,49,12.3,1.13,6507170341
"Hong, Pei-Ying",700401,"King Abdullah University of Science and Technology",academic,4,18,4.5,0.39,57219563589
"Huang, Xia",203209,"Tsinghua University",academic,4,75,18.8,1.09,26643260700
"Lu, Ji",201029,"University of Queensland",academic,4,142,35.5,7.33,57194899392
"Lu, Xi",201029,"University of Queensland",academic,4,32,8.0,1.61,59403036000
"Lu, Xuanyu",201029,"University of Queensland",academic,4,35,8.8,0.71,57205424805
"Meng, Jia",203076,"Harbin Institute of Technology",academic,4,127,31.8,1.90,55850816600
"Qiu, Ruihong",201029,"University of Queensland",academic,4,87,21.8,2.01,57211938334
"Shi, Tao",201029,"University of Queensland",academic,4,97,24.3,1.49,58279848900
"Song, Yarong",201029,"University of Queensland",academic,4,126,31.5,1.68,57190665132
"Wu, Mengxiong",201029,"University of Queensland",academic,4,61,15.3,1.54,56589263000
"Zuo, Zhiqiang",201027,"University of New South Wales",academic,4,42,10.5,2.84,57194556825
"Butler, David B.",315076,"University of Exeter",academic,3,246,82.0,3.59,55603464200
"Deletić, Ana B.",201027,"University of New South Wales",academic,3,11,3.7,0.33,6602509848
"Fu, Guangtao",315076,"University of Exeter",academic,3,246,82.0,3.59,55499297600
"Ge, Jingyu",201029,"University of Queensland",academic,3,10,3.3,0.83,59199911100
"Ge, Lei",201031,"University of Southern Queensland",academic,3,89,29.7,1.54,54421746500
"Huang, Xin",201029,"University of Queensland",academic,3,15,5.0,2.99,58062274300
"Jiang, Guangming",201037,"University of Wollongong",academic,3,43,14.3,0.92,7401706633
"Leu, Andy O.",201018,"Queensland University of Technology",academic,3,96,32.0,3.33,57201640417
"Lu, Yan",201029,"University of Queensland",academic,3,48,16.0,2.45,57292688400
"Mao, Likai",201029,"University of Queensland",academic,3,79,26.3,8.56,57202419719
"Marcellin, Esteban",201029,"University of Queensland",academic,3,42,14.0,1.40,26433627900
"Mueller, Jochen F.",201029,"University of Queensland",academic,3,40,13.3,0.95,57212221160
"Prodanovic, Veljko",201027,"University of New South Wales",academic,3,11,3.7,0.33,57193564554
"Su, Zicheng",201029,"University of Queensland",academic,3,73,24.3,3.35,57860692000
"Wang, Hao",201031,"University of Southern Queensland",academic,3,89,29.7,1.54,56820338700
"Xie, Mengying",201029,"University of Queensland",academic,3,30,10.0,1.49,57204293366
"Yu, Zhigang",201029,"University of Queensland",academic,3,90,30.0,5.02,56544854100
"Zhang, Kefeng",201027,"University of New South Wales",academic,3,11,3.7,0.33,55246816000
"Zhang, Shuai",201029,"University of Queensland",academic,3,71,23.7,7.12,35333472000
"Ahmed, Yunus",713816,"Chittagong University of Engineering and Technology",academic,2,184,92.0,5.11,14832383900
"Bräunig, Jennifer",201029,"University of Queensland",academic,2,39,19.5,1.39,54934028700
"Cheng, Zhao",203209,"Tsinghua University",academic,2,48,24.0,1.05,56799584800
"Chislett, Mariella M.",201029,"University of Queensland",academic,2,43,21.5,1.39,57212278321
"Cook, Lauren M.",306007,"Swiss Federal Institute of Aquatic Science and Technology",government,2,32,16.0,2.63,57194868428
"Ding, Pengbo",201029,"University of Queensland",academic,2,78,39.0,11.73,57216892113
"Dong, Qian",715088,"Chinese Research Academy of Environmental Sciences",academic,2,48,24.0,1.05,55836362000
"Donose, Bogdan C.",201025,"University of Melbourne",academic,2,43,21.5,1.39,8310277300
"Engelstädter, Jan",201029,"University of Queensland",academic,2,78,39.0,11.73,6508164056
"Frank, Joshua",201029,"University of Queensland",academic,2,24,12.0,1.00,57219447659
"Huang, Zi",201029,"University of Queensland",academic,2,10,5.0,1.24,58097638700
"Jiang, Feng",203198,"Sun Yat-Sen University",academic,2,88,44.0,1.85,57164602000
"Keller, Jurg",201029,"University of Queensland",academic,2,38,19.0,1.65,57208772241
"Kong, Zheng",201029,"University of Queensland",academic,2,12,6.0,1.46,57217183202
"Lai, Chunyu",203243,"Zhejiang University",academic,2,25,12.5,1.11,56051752000
"Li, He",203209,"Tsinghua University",academic,2,27,13.5,1.12,57217870171
"Li, Jianzheng",203076,"Harbin Institute of Technology",academic,2,102,51.0,2.79,57204315427
"Li, Jie",201029,"University of Queensland",academic,2,36,18.0,2.28,59450164200
"Li, Jie",201029,"University of Queensland",academic,2,58,29.0,1.57,59791101100
"Li, Wei",201032,"University of Sydney",academic,2,32,16.0,1.16,57214815586
